stock_id,name,buy_date,buy_price,shares,buy_cost,sell_date,sell_price,sell_net,pnl,ret_pct
2351,順德,2006-08-14,33.2,1569,52111.58,2006-08-30,39.0,60983.01,8871.43,17.02
1471,首利,2006-09-05,34.23,1847,60981.6,2006-12-15,33.74,59879.79,-1101.81,-1.81
2348,海悅,2006-12-18,32.5,100,59544.93,2007-01-31,32.9,60048.95,504.02,0.85
6197,佳必琪,2007-02-01,123.56,668,60388.84,2007-02-02,124.05,60398.31,9.47,0.02
6197,佳必琪,2007-02-05,129.44,637,60328.6,2007-02-06,131.89,61237.82,909.22,1.51
1324,地球,2007-02-07,18.75,3269,61318.21,2007-02-26,28.1,91546.67,30228.47,49.3
1324,地球,2007-02-27,28.1,3256,91530.11,2007-03-06,25.0,81123.32,-10406.78,-11.37
1324,地球,2007-03-07,25.05,3238,81144.26,2007-03-08,24.2,78093.26,-3051.01,-3.76
1324,地球,2007-03-09,24.7,3160,78083.14,2007-03-12,24.5,77156.85,-926.29,-1.19
1324,地球,2007-03-13,27.6,2794,77145.17,2007-03-14,27.85,77548.41,403.25,0.52
1324,地球,2007-03-15,30.0,2584,77550.93,2007-05-03,23.95,61676.45,-15874.48,-20.47
3005,神基,2007-05-04,28.0,2202,61680.6,2007-08-01,45.45,99740.73,38060.12,61.71
1734,杏輝,2007-08-02,44.6,2947,99753.3,2007-08-03,41.12,91612.73,-8140.57,-8.16
2497,怡利電,2007-08-06,84.59,1136,91560.06,2007-08-07,89.57,96577.89,5017.83,5.48
2497,怡利電,2007-08-08,78.62,1290,96632.97,2007-08-09,80.22,98215.87,1582.9,1.64
2497,怡利電,2007-08-10,84.79,1215,98157.69,2007-08-13,88.58,102146.35,3988.66,4.06
2497,怡利電,2007-08-14,81.51,1316,102199.47,2007-08-15,80.61,100692.61,-1506.86,-1.47
2497,怡利電,2007-08-16,79.62,1327,100662.98,2007-08-17,74.84,94263.88,-6399.1,-6.36
2617,台航,2007-08-20,61.6,1530,94285.6,2007-08-21,56.5,86151.17,-8134.43,-8.63
2539,櫻花建,2007-08-22,9.06,23478,86168.11,2007-08-23,8.32,78847.25,-7320.86,-8.5
2539,櫻花建,2007-08-24,7.74,25146,78846.56,2007-08-27,7.74,78547.22,-299.34,-0.38
2539,櫻花建,2007-08-28,7.74,25051,78548.68,2007-08-29,7.74,78250.47,-298.21,-0.38
2617,台航,2007-08-30,69.9,1119,78249.31,2007-10-25,93.8,104605.43,26356.12,33.68
3591,艾笛森,2007-10-26,132.68,1660,104585.69,2007-11-06,133.62,104927.8,342.11,0.33
2614,東森,2007-11-07,13.5,2118,104902.96,2007-11-08,12.3,95215.27,-9687.69,-9.23
3591,艾笛森,2007-11-09,130.81,1533,95228.24,2007-11-12,128.93,93501.17,-1727.07,-1.81
3591,艾笛森,2007-11-13,132.68,1484,93497.09,2007-11-14,132.68,93142.13,-354.96,-0.38
6116,彩晶,2007-11-15,14.1,3958,93157.02,2007-11-16,13.9,91486.66,-1670.36,-1.79
1432,大魯閣,2007-11-19,6.96,8212,91507.5,2007-11-20,6.69,87561.55,-3945.95,-4.31
2352,佳世達,2007-11-21,40.6,1947,87544.19,2007-11-22,38.4,82486.03,-5058.16,-5.78
5388,中磊,2007-12-07,32.5,2639,82501.66,2007-12-17,27.8,70302.81,-12198.85,-14.79
6283,淳安,2008-03-27,24.18,2010,70280.34,2008-05-08,24.27,70293.57,13.22,0.02
2028,威致,2008-05-09,22.7,1857,70284.47,2008-05-12,21.0,64774.08,-5510.39,-7.84
1708,東鹼,2008-05-13,55.7,1834,64780.16,2008-05-28,66.9,77510.45,12730.29,19.65
6283,淳安,2009-04-14,1.55,30078,77538.92,2009-06-11,11.46,572102.46,494563.54,637.83
